id,title,category,subcategory,source_type,health,item_count,last_success,url,rss_url,atom_url,json_url,ics_url
agency-puc-news,Maine Public Utilities Commission News & Press Releases,Maine Agencies,PUC,html,ok,8,2026-09-02T21:01:25.118800+00:00,https://www.maine.gov/mpuc/news,https://bedardandy.github.io/maine-government-feeds/feeds/rss/agency-puc-news.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/agency-puc-news.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/agency-puc-news.json,https://bedardandy.github.io/maine-government-feeds/calendar/agency-puc-news.ics
agency-dacf-newsroom,"Maine Dept. of Agriculture, Conservation and Forestry Newsroom",Maine Agencies,DACF,html,ok,23,2026-09-02T21:01:27.184688+00:00,https://www.maine.gov/dacf/about/news/,https://bedardandy.github.io/maine-government-feeds/feeds/rss/agency-dacf-newsroom.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/agency-dacf-newsroom.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/agency-dacf-newsroom.json,https://bedardandy.github.io/maine-government-feeds/calendar/agency-dacf-newsroom.ics
rod-androscoggin,Androscoggin County Registry of Deeds,Registries of Deeds,Androscoggin County,page_monitor,ok,1,2026-09-02T21:01:27.673333+00:00,https://www.androscoggincountymaine.gov/164/Registry-of-Deeds,https://bedardandy.github.io/maine-government-feeds/feeds/rss/rod-androscoggin.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/rod-androscoggin.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/rod-androscoggin.json,https://bedardandy.github.io/maine-government-feeds/calendar/rod-androscoggin.ics
rod-aroostook,Aroostook County Registry of Deeds,Registries of Deeds,Aroostook County,page_monitor,failing,1,2026-07-05T10:23:12.642509+00:00,https://aroostook.me.us/departments/deeds/,https://bedardandy.github.io/maine-government-feeds/feeds/rss/rod-aroostook.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/rod-aroostook.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/rod-aroostook.json,https://bedardandy.github.io/maine-government-feeds/calendar/rod-aroostook.ics
rod-cumberland,Cumberland County Registry of Deeds,Registries of Deeds,Cumberland County,page_monitor,ok,1,2026-09-02T21:01:28.332158+00:00,https://www.cumberlandcountyme.gov/departments/registry_of_deeds/index.php,https://bedardandy.github.io/maine-government-feeds/feeds/rss/rod-cumberland.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/rod-cumberland.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/rod-cumberland.json,https://bedardandy.github.io/maine-government-feeds/calendar/rod-cumberland.ics
rod-franklin,Franklin County Registry of Deeds,Registries of Deeds,Franklin County,page_monitor,failing,6,2026-09-02T16:33:21.039401+00:00,https://www.franklincountymaine.gov/county-operations/registry-of-deeds/,https://bedardandy.github.io/maine-government-feeds/feeds/rss/rod-franklin.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/rod-franklin.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/rod-franklin.json,https://bedardandy.github.io/maine-government-feeds/calendar/rod-franklin.ics
rod-hancock,Hancock County Registry of Deeds,Registries of Deeds,Hancock County,page_monitor,ok,50,2026-09-02T21:01:28.643869+00:00,https://hancockcountymaine.gov/registry-of-deeds/,https://bedardandy.github.io/maine-government-feeds/feeds/rss/rod-hancock.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/rod-hancock.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/rod-hancock.json,https://bedardandy.github.io/maine-government-feeds/calendar/rod-hancock.ics
rod-kennebec,Kennebec County Registry of Deeds,Registries of Deeds,Kennebec County,page_monitor,ok,4,2026-09-02T21:01:28.840765+00:00,https://kennebec.gov/deeds/,https://bedardandy.github.io/maine-government-feeds/feeds/rss/rod-kennebec.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/rod-kennebec.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/rod-kennebec.json,https://bedardandy.github.io/maine-government-feeds/calendar/rod-kennebec.ics
rod-knox,Knox County Registry of Deeds,Registries of Deeds,Knox County,page_monitor,ok,1,2026-09-02T21:01:29.270776+00:00,https://www.knoxcountymaine.gov/county_departments/registry_of_deeds/index.php,https://bedardandy.github.io/maine-government-feeds/feeds/rss/rod-knox.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/rod-knox.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/rod-knox.json,https://bedardandy.github.io/maine-government-feeds/calendar/rod-knox.ics
rod-lincoln,Lincoln County Registry of Deeds,Registries of Deeds,Lincoln County,page_monitor,ok,1,2026-09-02T21:01:30.419778+00:00,https://www.lincolncountymaine.me/deeds,https://bedardandy.github.io/maine-government-feeds/feeds/rss/rod-lincoln.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/rod-lincoln.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/rod-lincoln.json,https://bedardandy.github.io/maine-government-feeds/calendar/rod-lincoln.ics
rod-piscataquis,Piscataquis County Registry of Deeds,Registries of Deeds,Piscataquis County,page_monitor,ok,50,2026-09-02T21:01:30.569980+00:00,https://www.piscataquis.us/deeds/,https://bedardandy.github.io/maine-government-feeds/feeds/rss/rod-piscataquis.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/rod-piscataquis.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/rod-piscataquis.json,https://bedardandy.github.io/maine-government-feeds/calendar/rod-piscataquis.ics
